owner_id,owner_code,owner_name,owner_type,years_operating,digital_payment_enabled,management_system,willingness_to_digitize,contract_flexibility,decision_maker_accessible,digital_readiness
1,OWN-0001,Synthetic Operator 001,Private Company,3,True,Basic POS,4,4,True,Digitally Ready
2,OWN-0002,Synthetic Operator 002,Private Company,7,True,Basic POS,3,2,True,Digitally Ready
3,OWN-0003,Synthetic Operator 003,Family Trust,1,True,Spreadsheet,2,3,False,Digitally Ready
4,OWN-0004,Synthetic Operator 004,Family Trust,18,False,Paper Register,3,2,True,Needs Enablement
5,OWN-0005,Synthetic Operator 005,Private Company,28,True,Basic POS,4,5,True,Digitally Ready
6,OWN-0006,Synthetic Operator 006,RWA,4,True,Basic POS,3,4,False,Digitally Ready
7,OWN-0007,Synthetic Operator 007,Government/Municipal,4,False,Basic POS,4,2,True,Needs Enablement
8,OWN-0008,Synthetic Operator 008,RWA,15,False,Paper Register,2,2,False,Needs Enablement
9,OWN-0009,Synthetic Operator 009,Private Company,6,False,Basic POS,4,5,True,Needs Enablement
10,OWN-0010,Synthetic Operator 010,Private Company,6,True,Spreadsheet,3,4,True,Digitally Ready
11,OWN-0011,Synthetic Operator 011,Private Company,3,True,Paper Register,4,4,True,Digitally Ready
12,OWN-0012,Synthetic Operator 012,Private Company,8,True,Basic POS,4,4,False,Digitally Ready
13,OWN-0013,Synthetic Operator 013,RWA,10,False,Paper Register,2,2,True,Needs Enablement
14,OWN-0014,Synthetic Operator 014,Private Company,6,True,Third-party App,5,5,True,Digitally Ready
15,OWN-0015,Synthetic Operator 015,Private Company,21,False,Spreadsheet,4,5,False,Needs Enablement
16,OWN-0016,Synthetic Operator 016,RWA,13,True,Spreadsheet,3,2,True,Digitally Ready
17,OWN-0017,Synthetic Operator 017,Private Company,4,True,Third-party App,5,4,True,Digitally Ready
18,OWN-0018,Synthetic Operator 018,Mall Management,9,False,Basic POS,5,3,False,Needs Enablement
19,OWN-0019,Synthetic Operator 019,Private Company,4,True,Basic POS,4,3,True,Digitally Ready
20,OWN-0020,Synthetic Operator 020,Government/Municipal,11,False,Spreadsheet,3,3,False,Needs Enablement
21,OWN-0021,Synthetic Operator 021,Government/Municipal,4,False,Spreadsheet,2,2,True,Needs Enablement
22,OWN-0022,Synthetic Operator 022,Government/Municipal,14,False,Paper Register,3,2,True,Needs Enablement
23,OWN-0023,Synthetic Operator 023,Government/Municipal,5,True,Paper Register,3,2,False,Digitally Ready
24,OWN-0024,Synthetic Operator 024,Private Company,15,True,Basic POS,4,3,True,Digitally Ready
25,OWN-0025,Synthetic Operator 025,Private Company,12,False,Paper Register,3,3,True,Needs Enablement
26,OWN-0026,Synthetic Operator 026,RWA,12,True,Spreadsheet,3,3,False,Digitally Ready
27,OWN-0027,Synthetic Operator 027,Private Company,11,False,Third-party App,4,3,False,Needs Enablement
28,OWN-0028,Synthetic Operator 028,Mall Management,4,True,Third-party App,5,5,True,Digitally Ready
29,OWN-0029,Synthetic Operator 029,Mall Management,6,True,Spreadsheet,4,4,True,Digitally Ready
30,OWN-0030,Synthetic Operator 030,Private Company,9,True,Third-party App,4,4,True,Digitally Ready
31,OWN-0031,Synthetic Operator 031,Family Trust,3,False,Paper Register,2,2,False,Needs Enablement
32,OWN-0032,Synthetic Operator 032,Government/Municipal,9,False,Paper Register,1,1,False,Needs Enablement
