parking_id,lot_code,lot_name,locality_id,owner_id,latitude,longitude,parking_type,surface_type,capacity_cars,hourly_rate_inr,monthly_pass_inr,is_24x7,opens_at,closes_at,has_covered_parking,has_security_staff,has_cctv,record_source,source_name,source_reference,source_observed_on,data_quality_flag,osm_id,parking_display_name,capacity_segment,operating_hours_label
1,LOT-0001,OSM Parking node-928559154,1,1,28.631596,77.220415,Basement,Paved,219,95.0,,False,06:00:00,23:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/928559154,2026-08-16,Fallback,928559154,Basement · Connaught Place #1,Q3 Large,06:00-23:00
2,LOT-0002,OSM Parking node-928559077,1,2,28.631815,77.220799,Office Complex,Paved,416,85.0,,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/928559077,2026-08-16,Fallback,928559077,Office Complex · Connaught Place,Q4 Very Large,06:00-22:00
3,LOT-0003,Palika Parking,1,1,28.631302,77.217887,Basement,Paved,86,125.0,9200.0,False,06:00:00,00:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1393736859,2026-08-16,Medium,1393736859,Palika Parking,Q1 Small,06:00-00:00
4,LOT-0004,OSM Parking way-1306327527,1,3,28.631979,77.221279,Surface Lot,Paved,112,65.0,,True,,,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1306327527,2026-08-16,Fallback,1306327527,Surface Lot · Connaught Place #4,Q2 Medium,24 hours
5,LOT-0005,OSM Parking way-1306327526,1,4,28.631762,77.221307,Surface Lot,Mixed,108,60.0,4000.0,False,06:00:00,23:00:00,False,True,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1306327526,2026-08-16,Fallback,1306327526,Surface Lot · Connaught Place #5,Q2 Medium,06:00-23:00
6,LOT-0006,OSM Parking node-928558934,1,5,28.632443,77.221215,Basement,Paved,296,80.0,7000.0,True,,,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/928558934,2026-08-16,Fallback,928558934,Basement · Connaught Place #6,Q4 Very Large,24 hours
7,LOT-0007,OSM Parking way-1237304338,1,6,28.632712,77.221112,Surface Lot,Mixed,70,105.0,7500.0,False,06:00:00,23:00:00,False,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/way/1237304338,2026-08-16,Fallback,1237304338,Surface Lot · Connaught Place #7,Q1 Small,06:00-23:00
8,LOT-0008,OSM Parking node-5634145022,1,2,28.631291,77.221454,Basement,Paved,158,125.0,9200.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/5634145022,2026-08-16,Fallback,5634145022,Basement · Connaught Place #8,Q3 Large,06:00-22:00
9,LOT-0009,OSM Parking node-928559229,1,7,28.633774,77.218632,Surface Lot,Paved,125,90.0,7300.0,False,06:00:00,22:00:00,True,True,True,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/928559229,2026-08-16,Fallback,928559229,Surface Lot · Connaught Place #9,Q2 Medium,06:00-22:00
10,LOT-0010,Gurudwara Bangla Sahib Parking Gate No 2,1,8,28.625534,77.209658,Surface Lot,Paved,98,75.0,6600.0,False,06:00:00,22:00:00,False,False,False,public_osm,OpenStreetMap,https://www.openstreetmap.org/node/14044922668,2026-08-16,Medium,14044922668,Gurudwara Bangla Sahib Parking Gate No 2,Q2 Medium,06:00-22:00
