parking_id,avg_occupancy_rate,p90_peak_occupancy_rate,demand_score,revenue_score,competition_score,strategic_fit_score,feasibility_score,attractiveness_score,acquisition_score,priority_segment,acquisition_rank,expected_monthly_platform_revenue_inr,expected_commission_pct,estimated_onboarding_cost_inr,documentation_readiness,operational_complexity,requires_capex,exclusivity_possible,estimated_setup_days,competitor_count_500m,competitor_count_1km,competitor_distance_proxy_m,aggregator_listed_count_1km,aggregator_penetration_rate,competitor_avg_hourly_rate_inr,nearest_live_network_distance_km,live_network_site_count,live_network_capacity_cars,avg_daily_platform_bookings,avg_daily_gross_revenue_inr,rank_stability_pct,stability_class,top_10_frequency_pct,top_20_frequency_pct,average_rank,best_rank,worst_rank,rank_standard_deviation,positive_reason_flags,constraint_reason_flags,recommendation,avg_daily_bookings,avg_daily_revenue_inr,revenue_per_space_inr,bookings_per_space,revenue_per_occupied_space_inr
1,0.5852131506849315,0.8987,87.6,100.0,28.02,62.87,71.14,76.37,75.59,ACQUIRE_NOW,3,234519.9,18.5,91500.0,3,4,False,True,28,19,22,45.0,2,0.09090909090909091,120.0,0.6114023242931865,1,104,211.0986301369863,162686.94230136985,100.0,Very Stable,100.0,100.0,3.64,3,5,0.77,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION,Prioritise for named-owner outreach and commercial diligence.,211.1,162686.94,742.86,0.9639,1269.39
2,0.32447534246575344,0.60984,62.23,82.44,19.73,67.05,63.33,61.52,61.8,ACQUIRE_NOW,21,173865.47,13.5,108000.0,3,2,False,True,17,18,21,45.0,5,0.23809523809523808,75.0,0.5816914626239543,1,104,197.0986301369863,145677.03134246575,0.0,Highly Sensitive,0.0,45.45,20.27,18,22,1.35,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE,HIGH_COMPETITION|HIGH_ONBOARDING_COST,Prioritise for named-owner outreach and commercial diligence.,197.1,145677.03,350.19,0.4738,1079.24
3,0.5031868493150685,0.81506,78.02,83.38,24.09,62.87,84.4,67.41,69.96,ACQUIRE_NOW,8,86502.5,17.0,42500.0,4,1,False,True,21,17,23,190.0,4,0.17391304347826086,130.0,0.7271119573558552,1,104,61.97808219178082,67444.29410958904,100.0,Very Stable,100.0,100.0,7.82,7,9,0.57,HIGH_DEMAND|HIGH_REVENUE|NETWORK_GAP|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION,Prioritise for named-owner outreach and commercial diligence.,61.98,67444.29,784.24,0.7207,1558.54
4,0.42362931506849316,0.7228,72.22,84.91,20.29,58.59,45.08,64.38,61.49,PURSUE,22,94507.31,20.0,77500.0,2,1,True,True,22,18,21,24.0,1,0.047619047619047616,35.0,0.5596159773700692,1,104,98.4904109589041,58721.03136986301,0.0,Highly Sensitive,0.0,9.09,22.91,19,29,2.61,HIGH_DEMAND|HIGH_REVENUE|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|DOCUMENTATION_GAP|DECISION_MAKER_BLOCKED|CAPEX_REQUIRED|COMPETITOR_PRICE_PRESSURE,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,98.49,58721.03,524.29,0.8794,1237.63
5,0.5110238356164384,0.8,80.17,54.58,18.27,59.2,54.5,58.02,57.49,PURSUE,28,39515.13,13.5,61500.0,3,2,False,False,29,18,21,24.0,4,0.19047619047619047,45.0,0.5836160784680707,1,104,71.9068493150685,43605.03243835617,0.0,Highly Sensitive,0.0,0.0,28.73,25,37,2.93,HIGH_DEMAND|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|COMPETITOR_PRICE_PRESSURE,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,71.91,43605.03,403.75,0.6658,790.08
6,0.5387493150684931,0.8424200000000001,83.67,100.0,17.59,61.81,77.89,72.96,73.69,ACQUIRE_NOW,5,433614.46,25.0,74500.0,3,3,False,True,26,17,22,32.0,3,0.13636363636363635,55.0,0.5084121684316845,1,104,325.0821917808219,221328.27380821918,100.0,Very Stable,100.0,100.0,5.09,3,7,1.16,HIGH_DEMAND|HIGH_REVENUE|HIGH_OWNER_READINESS|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|COMPETITOR_PRICE_PRESSURE,Prioritise for named-owner outreach and commercial diligence.,325.08,221328.27,747.73,1.0983,1387.9
7,0.4511901369863014,0.74798,74.62,81.78,21.8,55.14,61.3,63.97,63.57,ACQUIRE_NOW,18,79012.65,21.0,33000.0,3,1,False,False,12,17,22,32.0,3,0.13636363636363635,100.0,0.4793047915460848,1,104,51.15890410958904,46240.81912328767,0.0,Highly Sensitive,0.0,90.91,18.64,16,23,1.67,HIGH_DEMAND|HIGH_REVENUE|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|DECISION_MAKER_BLOCKED,Prioritise for named-owner outreach and commercial diligence.,51.16,46240.82,660.58,0.7308,1464.09
8,0.4633232876712329,0.753,74.99,91.64,25.96,62.02,64.52,68.95,68.28,ACQUIRE_NOW,9,137873.33,15.5,56500.0,4,3,False,False,33,17,22,54.0,1,0.045454545454545456,135.0,0.6356312307377907,1,104,102.26849315068493,114361.45495890411,70.0,Stable,63.64,100.0,10.0,7,13,1.76,HIGH_DEMAND|HIGH_REVENUE|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION,Prioritise for named-owner outreach and commercial diligence.,102.27,114361.45,723.81,0.6473,1562.21
9,0.4790627397260274,0.77902,75.13,61.0,20.83,55.9,58.66,58.0,58.1,ACQUIRE_NOW,26,52002.79,13.5,93000.0,3,3,True,True,33,15,23,29.0,3,0.13043478260869565,80.0,0.457293030765355,1,104,63.55068493150685,58555.54210958904,0.0,Highly Sensitive,0.0,0.0,27.0,26,33,2.09,HIGH_DEMAND|HIGH_REVENUE|STRONG_METRO_ACCESS|CAPACITY_EFFICIENT_REVENUE|SUSTAINED_UTILIZATION,HIGH_COMPETITION|CAPEX_REQUIRED,Prioritise for named-owner outreach and commercial diligence.,63.55,58555.54,468.44,0.5084,977.84
10,0.47400191780821915,0.77318,62.57,37.23,56.59,86.02,41.88,58.2,55.75,PURSUE,29,19787.03,11.5,57000.0,4,3,False,True,21,0,7,553.0,1,0.14285714285714285,105.0,1.528096019357061,1,104,38.76986301369863,38478.98526027397,0.0,Highly Sensitive,0.0,0.0,28.82,25,33,1.99,HIGH_DEMAND|NETWORK_GAP|STRONG_METRO_ACCESS|SUSTAINED_UTILIZATION,LOW_OWNER_READINESS|DECISION_MAKER_BLOCKED,Assign senior BD to resolve the recorded feasibility constraints before commercial negotiation.,38.77,38478.99,392.64,0.3956,828.36
