parking_id,activity_date,peak_occupancy_rate,avg_occupancy_rate,vehicle_entries,platform_bookings,booking_cancellations,gross_parking_revenue_inr,avg_park_duration_hours
1,2025-08-01,0.7636,0.6371,817,186,10,195023.54,3.06
2,2025-08-01,0.5338,0.4326,1409,273,19,238242.59,2.13
3,2025-08-01,0.7897,0.6021,316,64,7,70529.64,2.67
4,2025-08-01,0.755,0.5854,647,115,2,82891.67,2.7
5,2025-08-01,0.7513,0.6046,423,72,2,51967.91,2.72
6,2025-08-01,0.7798,0.6388,1722,375,17,287014.28,2.56
7,2025-08-01,0.694,0.5441,275,55,3,52444.34,2.5
8,2025-08-01,0.7779,0.6109,572,99,3,146997.71,2.6
9,2025-08-01,0.7086,0.5326,356,65,3,72461.72,2.82
10,2025-08-01,0.6624,0.5305,291,47,0,42915.56,2.47
11,2025-08-01,0.4524,0.2583,237,36,2,35048.97,2.65
12,2025-08-01,0.7063,0.5652,342,59,1,52257.97,3.25
13,2025-08-01,0.6536,0.5192,2024,342,8,247137.72,2.71
14,2025-08-01,0.6171,0.4802,864,153,7,57007.8,2.41
15,2025-08-01,0.575,0.431,1294,267,9,106752.92,2.83
16,2025-08-01,0.6699,0.5306,1064,216,14,121180.94,2.85
17,2025-08-01,0.7987,0.6907,791,165,7,116503.18,3.19
18,2025-08-01,0.9208,0.7862,1803,397,17,200911.54,3.21
19,2025-08-01,0.6051,0.5063,798,135,7,127913.61,3.0
20,2025-08-01,0.5738,0.4473,240,34,0,37596.33,3.24
21,2025-08-01,0.763,0.6112,1811,347,9,241775.55,2.54
22,2025-08-01,0.6264,0.5275,1827,247,7,196514.14,2.76
23,2025-08-01,0.4929,0.3462,391,74,3,36370.29,2.62
24,2025-08-01,0.3371,0.1948,104,13,0,11956.84,3.48
25,2025-08-01,0.2882,0.1726,141,15,4,17295.89,3.12
26,2025-08-01,0.5179,0.3163,785,114,6,68971.1,3.18
27,2025-08-01,0.3847,0.2678,448,55,4,21701.34,2.73
28,2025-08-01,0.3698,0.2498,213,30,0,40007.98,3.06
29,2025-08-01,0.5594,0.4164,474,54,0,90928.06,2.88
30,2025-08-01,0.5423,0.3728,226,29,2,30665.18,3.1
31,2025-08-01,0.3364,0.1849,415,69,3,24021.67,2.8
32,2025-08-01,0.6576,0.5287,663,72,3,33792.61,2.6
33,2025-08-01,0.5044,0.3322,459,32,3,68373.94,5.72
34,2025-08-01,0.5569,0.3728,356,37,0,53724.78,6.1
35,2025-08-01,0.5043,0.3383,58,7,0,12188.21,5.39
36,2025-08-01,0.4131,0.2313,366,64,6,23911.5,1.91
37,2025-08-01,0.4782,0.3685,650,61,6,41590.63,1.79
38,2025-08-01,0.4567,0.257,223,18,2,17408.48,2.41
39,2025-08-01,0.4129,0.249,202,33,2,11985.25,1.93
40,2025-08-01,0.4754,0.315,623,60,5,79367.39,2.1
41,2025-08-01,0.5815,0.4138,1186,240,10,152287.42,2.36
42,2025-08-01,0.5415,0.3894,281,39,0,29965.42,2.42
43,2025-08-01,0.7035,0.5305,785,101,2,125078.49,2.25
44,2025-08-01,0.702,0.4719,411,85,3,52346.52,2.3
45,2025-08-01,0.4091,0.2747,2878,510,33,171495.0,1.37
46,2025-08-01,0.5886,0.4569,1018,194,10,63238.94,2.14
47,2025-08-01,0.449,0.3254,260,33,0,24187.55,2.11
48,2025-08-01,0.7468,0.5859,254,29,1,21683.3,2.07
49,2025-08-01,0.6725,0.5594,330,40,1,18297.58,2.18
50,2025-08-01,0.5752,0.4046,174,27,1,10387.66,2.24
51,2025-08-01,0.7147,0.5489,378,87,3,19686.86,1.7
52,2025-08-01,0.7334,0.6191,1864,337,17,127128.44,2.1
53,2025-08-01,0.3432,0.1992,317,52,3,23849.23,1.99
54,2025-08-01,0.4959,0.3446,239,23,1,19786.55,2.11
55,2025-08-01,0.7418,0.564,1156,217,10,97130.71,2.09
56,2025-08-01,0.3543,0.2592,473,43,3,20590.93,1.93
57,2025-08-01,0.4258,0.2263,108,13,2,15704.58,4.57
58,2025-08-01,0.3315,0.1265,11,1,0,826.23,4.74
59,2025-08-01,0.3549,0.1916,145,14,1,19055.79,5.12
60,2025-08-01,0.5416,0.3522,111,15,2,13519.7,4.91
61,2025-08-01,0.53,0.3578,240,31,0,20298.24,5.27
62,2025-08-01,0.362,0.2133,72,5,0,23939.02,5.22
63,2025-08-01,0.5155,0.3616,204,27,1,62181.08,5.76
64,2025-08-01,0.5311,0.3637,120,13,1,31535.35,6.0
65,2025-08-01,0.4061,0.2672,186,42,3,35762.71,5.6
66,2025-08-01,0.485,0.3339,137,17,1,23362.17,5.68
