parking_id,day_type,hour_of_day,avg_occupancy_rate,avg_entries
1,Weekday,0,0.0,0.0
2,Weekday,0,0.0,0.0
3,Weekday,0,0.0,0.0
4,Weekday,0,0.0725,5.9
5,Weekday,0,0.0,0.0
6,Weekday,0,0.1252,19.84
7,Weekday,0,0.0,0.0
8,Weekday,0,0.0,0.0
9,Weekday,0,0.0,0.0
10,Weekday,0,0.0,0.0
11,Weekday,0,0.0,0.0
12,Weekday,0,0.0,0.0
13,Weekday,0,0.096,26.57
14,Weekday,0,0.0,0.0
15,Weekday,0,0.0646,23.19
16,Weekday,0,0.1051,13.25
17,Weekday,0,0.0,0.0
18,Weekday,0,0.1285,26.41
19,Weekday,0,0.0773,10.79
20,Weekday,0,0.0,0.0
21,Weekday,0,0.0,0.0
22,Weekday,0,0.0861,21.87
23,Weekday,0,0.0,0.0
24,Weekday,0,0.0,0.0
25,Weekday,0,0.0,0.0
26,Weekday,0,0.0,0.0
27,Weekday,0,0.0,0.0
28,Weekday,0,0.0,0.0
29,Weekday,0,0.0702,7.59
30,Weekday,0,0.0,0.0
31,Weekday,0,0.0,0.0
32,Weekday,0,0.0,0.0
33,Weekday,0,0.0372,11.38
34,Weekday,0,0.0639,10.01
35,Weekday,0,0.056,1.47
36,Weekday,0,0.0,0.0
37,Weekday,0,0.0,0.0
38,Weekday,0,0.0,0.0
39,Weekday,0,0.053,2.07
40,Weekday,0,0.0,0.0
41,Weekday,0,0.0,0.0
42,Weekday,0,0.0,0.0
43,Weekday,0,0.0,0.0
44,Weekday,0,0.0345,4.69
45,Weekday,0,0.0512,30.2
46,Weekday,0,0.0,0.0
47,Weekday,0,0.0,0.0
48,Weekday,0,0.0774,2.41
49,Weekday,0,0.0,0.0
50,Weekday,0,0.0663,2.77
51,Weekday,0,0.0,0.0
52,Weekday,0,0.0,0.0
53,Weekday,0,0.0,0.0
54,Weekday,0,0.0286,2.06
55,Weekday,0,0.0,0.0
56,Weekday,0,0.0,0.0
57,Weekday,0,0.0787,3.79
58,Weekday,0,0.0,0.0
59,Weekday,0,0.0,0.0
60,Weekday,0,0.0,0.0
61,Weekday,0,0.0931,6.21
62,Weekday,0,0.0,0.0
63,Weekday,0,0.0,0.0
64,Weekday,0,0.0,0.0
65,Weekday,0,0.0,0.0
66,Weekday,0,0.0,0.0
67,Weekday,0,0.0,0.0
68,Weekday,0,0.0953,12.06
69,Weekday,0,0.0,0.0
70,Weekday,0,0.0,0.0
71,Weekday,0,0.0049,6.15
72,Weekday,0,0.0365,14.12
73,Weekday,0,0.0,0.0
74,Weekday,0,0.0,0.0
75,Weekday,0,0.0,0.0
76,Weekday,0,0.0,0.0
77,Weekday,0,0.0575,5.13
78,Weekday,0,0.0454,2.47
79,Weekday,0,0.0577,0.99
80,Weekday,0,0.0865,6.07
81,Weekday,0,0.0,0.0
82,Weekday,0,0.0,0.0
83,Weekday,0,0.0,0.0
84,Weekday,0,0.0,0.0
85,Weekday,0,0.0,0.0
86,Weekday,0,0.0,0.0
87,Weekday,0,0.0,0.0
88,Weekday,0,0.0,0.0
89,Weekday,0,0.0,0.0
90,Weekday,0,0.0,0.0
91,Weekday,0,0.0,0.0
92,Weekday,0,0.0591,1.96
