scenario_id,locality_id,locality_name,parking_count,average_acquisition_score,high_priority_count,expected_monthly_platform_revenue_inr,scenario_locality_rank,base_locality_rank,base_average_acquisition_score,locality_rank_change_vs_base,locality_score_change_vs_base
2,2,Nehru Place,11,65.36381605647541,6,1828740.181030414,1,1,65.6917891407929,0,-0.3279730843174917
2,1,Connaught Place,11,63.09553965714327,6,1385431.2139860475,2,2,63.388989258901034,0,-0.2934496017577643
2,6,Karol Bagh,10,56.1136551863349,4,743917.914279644,3,3,56.42829264857056,0,-0.3146374622356589
2,7,Lajpat Nagar,6,56.04798470430935,2,315896.3788120991,4,4,56.4128638583879,0,-0.364879154078551
2,11,Golf Course Road,5,48.385528026513,1,203344.87975935225,5,5,48.56552802651301,0,-0.1800000000000068
2,4,Dwarka Sector 21,3,43.526726358805014,0,50529.39714153801,6,6,43.9051251503458,0,-0.3783987915407891
2,14,Noida Sector 62,4,43.18735608274048,1,126238.61667964348,7,7,43.4215328199006,0,-0.2341767371601193
2,5,Rajouri Garden,5,41.98069858684586,0,103276.52379229123,8,8,42.318946320984836,0,-0.3382477341389744
2,19,Faridabad Sector 15,5,40.83132524560097,0,133461.92701161496,9,9,41.09416512475504,0,-0.2628398791540718
2,3,Saket,10,39.52509587973514,0,274658.01704927604,10,10,39.87186325133635,0,-0.3467673716012101
2,13,Noida Sector 18,4,37.68090283785209,0,62267.77132654982,11,11,38.08875782274635,0,-0.4078549848942643
2,10,Sector 29 Gurugram,10,35.46651359112224,0,215690.4044574089,12,12,35.72473111378084,0,-0.2582175226586045
2,16,Botanical Garden Noida,5,35.20829066200203,0,56046.73062686583,13,13,35.5091970064129,0,-0.300906344410869
2,9,DLF Cyber City,10,33.849055419057485,0,263349.6514233608,14,14,34.20076236769797,0,-0.3517069486404836
2,8,Vasant Kunj,5,31.88255549163094,0,42827.1549273755,15,15,32.238295672899824,0,-0.3557401812688852
2,12,Udyog Vihar,10,31.048984146746015,0,198000.5210187052,16,16,31.266914660341182,0,-0.2179305135951672
