lead_id,parking_id,lead_source,first_contact_date,contact_attempts,furthest_stage_id,furthest_stage_order,pipeline_status,lost_reason,documents_available,owner_interest_level,conversion_date,assigned_bd_rep,days_to_conversion
1,1,Broker,2025-09-15,5,7,7,Won,,True,3.0,2025-10-30,BD-01,45.0
2,2,Referral,2025-10-11,3,2,2,Lost,Wants Fixed Rent,False,4.0,,BD-02,
3,3,Cold Call,2025-12-05,2,7,7,Won,,True,3.0,2026-01-23,BD-03,49.0
4,4,Broker,2025-08-26,5,3,3,Lost,Owner Not Decision Maker,False,3.0,,BD-04,
5,5,Cold Call,2025-12-16,5,5,5,Lost,Commission Too Low,False,2.0,,BD-05,
6,6,Cold Call,2025-12-07,2,2,2,Lost,No Response,False,4.0,,BD-06,
7,7,Referral,,0,1,1,Active,,False,,,BD-01,
8,8,Field Survey,,0,1,1,Active,,False,,,BD-02,
9,9,Cold Call,,0,1,1,Active,,False,,,BD-03,
10,10,Referral,2026-02-17,5,4,4,Lost,Owner Not Decision Maker,False,1.0,,BD-04,
11,11,Cold Call,2025-11-28,2,7,7,Won,,True,3.0,2026-01-30,BD-05,63.0
12,12,Inbound Enquiry,2026-03-08,2,2,2,Lost,Wants Fixed Rent,False,3.0,,BD-06,
13,13,Desk Research,,0,1,1,Active,,False,,,BD-01,
14,14,Referral,2025-10-16,2,3,3,Lost,Commission Too Low,False,4.0,,BD-02,
15,15,Partner Network,2025-11-28,3,7,7,Won,,True,4.0,2026-01-16,BD-03,49.0
16,16,Cold Call,2025-10-31,3,2,2,Lost,Commission Too Low,False,2.0,,BD-04,
17,17,Desk Research,2025-11-30,2,7,7,Won,,True,4.0,2026-01-20,BD-05,51.0
18,18,Field Survey,2025-11-24,1,3,3,Lost,Owner Not Decision Maker,False,4.0,,BD-06,
19,19,Cold Call,2025-09-14,5,4,4,Lost,Wants Fixed Rent,False,2.0,,BD-01,
20,20,Referral,2025-11-12,3,2,2,Lost,Wants Fixed Rent,False,3.0,,BD-02,
21,21,Desk Research,2025-09-22,1,6,6,Active,,True,4.0,,BD-03,
22,22,Cold Call,2026-02-16,6,7,7,Won,,True,2.0,2026-04-13,BD-04,56.0
23,23,Referral,2025-08-13,2,7,7,Won,,True,4.0,2025-10-25,BD-05,73.0
24,24,Cold Call,,0,1,1,Active,,False,,,BD-06,
25,25,Partner Network,2025-08-14,2,3,3,Active,,False,3.0,,BD-01,
26,26,Referral,2025-08-17,1,4,4,Lost,Exclusivity Refused,False,3.0,,BD-02,
27,27,Field Survey,2025-10-13,2,3,3,Active,,False,5.0,,BD-03,
28,28,Referral,2026-04-12,8,2,2,Active,,False,3.0,,BD-04,
29,29,Referral,,0,1,1,Active,,False,,,BD-05,
30,30,Cold Call,2026-03-06,4,4,4,Active,,False,3.0,,BD-06,
31,31,Cold Call,2026-04-20,2,2,2,Active,,False,4.0,,BD-01,
32,32,Cold Call,2025-12-24,4,4,4,Active,,False,2.0,,BD-02,
33,33,Cold Call,2025-12-19,3,3,3,Lost,Commission Too Low,False,3.0,,BD-03,
34,34,Broker,2025-09-14,1,2,2,Lost,Wants Fixed Rent,False,3.0,,BD-04,
35,35,Cold Call,2025-12-06,3,2,2,Active,,False,2.0,,BD-05,
36,36,Field Survey,2026-01-31,1,3,3,Lost,Competitor Signed,False,3.0,,BD-06,
37,37,Cold Call,,0,1,1,Active,,False,,,BD-01,
38,38,Partner Network,2026-03-08,2,2,2,Lost,Owner Not Decision Maker,False,4.0,,BD-02,
39,39,Inbound Enquiry,,0,1,1,Active,,False,,,BD-03,
40,40,Field Survey,,0,1,1,Active,,False,,,BD-04,
41,41,Desk Research,2026-03-10,3,5,5,Active,,False,5.0,,BD-05,
42,42,Field Survey,2025-08-16,3,5,5,Active,,False,4.0,,BD-06,
43,43,Field Survey,2025-09-18,3,5,5,Active,,False,3.0,,BD-01,
44,44,Partner Network,2026-01-05,4,5,5,Lost,Owner Not Decision Maker,False,2.0,,BD-02,
45,45,Inbound Enquiry,2026-04-27,2,4,4,Lost,No Response,False,5.0,,BD-03,
46,46,Broker,2026-03-01,1,4,4,Lost,Competitor Signed,False,3.0,,BD-04,
47,47,Cold Call,2026-01-10,7,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-05,
48,48,Cold Call,2026-04-01,6,2,2,Lost,Owner Not Decision Maker,False,3.0,,BD-06,
49,49,Desk Research,2026-04-30,5,2,2,Lost,Wants Fixed Rent,False,2.0,,BD-01,
50,50,Field Survey,,0,1,1,Active,,False,,,BD-02,
51,51,Referral,2025-09-17,2,3,3,Active,,False,5.0,,BD-03,
52,52,Desk Research,2026-04-24,2,5,5,Lost,Exclusivity Refused,False,4.0,,BD-04,
53,53,Referral,2025-09-14,2,2,2,Lost,Commission Too Low,False,4.0,,BD-05,
54,54,Desk Research,2026-01-31,3,2,2,Lost,Commission Too Low,False,2.0,,BD-06,
55,55,Referral,,0,1,1,Active,,False,,,BD-01,
56,56,Inbound Enquiry,2025-11-11,3,4,4,Lost,Commission Too Low,False,2.0,,BD-02,
57,57,Referral,2025-08-13,3,3,3,Active,,False,3.0,,BD-03,
58,58,Broker,2025-10-22,5,2,2,Lost,Commission Too Low,False,2.0,,BD-04,
59,59,Broker,2026-04-25,2,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-05,
60,60,Cold Call,2025-10-31,5,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-06,
61,61,Desk Research,,0,1,1,Active,,False,,,BD-01,
62,62,Desk Research,2026-01-22,6,2,2,Active,,False,3.0,,BD-02,
63,63,Referral,2025-10-22,2,4,4,Lost,Owner Not Decision Maker,False,3.0,,BD-03,
64,64,Field Survey,2026-03-20,5,7,7,Won,,True,3.0,2026-05-11,BD-04,52.0
65,65,Field Survey,2025-12-29,1,3,3,Lost,Owner Not Decision Maker,False,4.0,,BD-05,
66,66,Broker,2025-11-25,4,2,2,Lost,Owner Not Decision Maker,False,3.0,,BD-06,
67,67,Inbound Enquiry,2025-10-15,1,6,6,Lost,No Response,True,4.0,,BD-01,
68,68,Field Survey,,0,1,1,Active,,False,,,BD-02,
69,69,Field Survey,,0,1,1,Active,,False,,,BD-03,
70,70,Cold Call,,0,1,1,Active,,False,,,BD-04,
71,71,Cold Call,2025-10-20,4,3,3,Lost,Commission Too Low,False,2.0,,BD-05,
72,72,Field Survey,2025-08-16,3,2,2,Lost,Wants Fixed Rent,False,3.0,,BD-06,
73,73,Desk Research,,0,1,1,Active,,False,,,BD-01,
74,74,Referral,,0,1,1,Active,,False,,,BD-02,
75,75,Cold Call,2025-12-20,2,2,2,Lost,Competitor Signed,False,5.0,,BD-03,
76,76,Desk Research,,0,1,1,Active,,False,,,BD-04,
77,77,Field Survey,2026-01-16,4,6,6,Lost,Wants Fixed Rent,True,3.0,,BD-05,
78,78,Broker,2025-10-20,4,3,3,Lost,Owner Not Decision Maker,False,2.0,,BD-06,
79,79,Cold Call,2026-02-17,4,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-01,
80,80,Desk Research,,0,1,1,Active,,False,,,BD-02,
81,81,Field Survey,2025-11-05,2,2,2,Lost,Commission Too Low,False,2.0,,BD-03,
82,82,Partner Network,2025-11-19,1,2,2,Lost,Commission Too Low,False,2.0,,BD-04,
83,83,Partner Network,,0,1,1,Active,,False,,,BD-05,
84,84,Inbound Enquiry,2026-04-19,3,7,7,Won,,True,4.0,2026-06-23,BD-06,65.0
85,85,Partner Network,2025-08-29,2,3,3,Lost,Commission Too Low,False,4.0,,BD-01,
86,86,Field Survey,2026-04-24,1,4,4,Lost,Exclusivity Refused,False,3.0,,BD-02,
87,87,Inbound Enquiry,2026-02-11,1,6,6,Lost,Commission Too Low,True,5.0,,BD-03,
88,88,Partner Network,2025-09-21,3,3,3,Active,,False,2.0,,BD-04,
89,89,Desk Research,,0,1,1,Active,,False,,,BD-05,
90,90,Field Survey,2026-01-23,1,2,2,Active,,False,3.0,,BD-06,
91,91,Cold Call,,0,1,1,Active,,False,,,BD-01,
92,92,Desk Research,2025-11-14,4,3,3,Active,,False,1.0,,BD-02,
93,93,Field Survey,2025-08-18,2,6,6,Lost,Commission Too Low,True,5.0,,BD-03,
94,94,Cold Call,2025-10-29,3,6,6,Lost,Owner Not Decision Maker,True,3.0,,BD-04,
95,95,Referral,2025-11-20,1,7,7,Won,,True,2.0,2026-02-05,BD-05,77.0
96,96,Partner Network,2026-01-26,2,6,6,Lost,Exclusivity Refused,True,3.0,,BD-06,
97,97,Broker,2025-10-03,2,2,2,Lost,Owner Not Decision Maker,False,2.0,,BD-01,
98,98,Desk Research,,0,1,1,Active,,False,,,BD-02,
