event_id,lead_id,stage_id,event_date,channel
1,1,1,2025-09-14,WhatsApp
2,1,2,2025-09-15,Phone
3,1,3,2025-09-22,In-Person
4,1,4,2025-09-25,WhatsApp
5,1,5,2025-10-13,Phone
6,1,6,2025-10-17,Video Call
7,1,7,2025-10-30,WhatsApp
8,2,1,2025-10-08,WhatsApp
9,2,2,2025-10-11,Phone
10,3,1,2025-11-30,Phone
11,3,2,2025-12-05,Phone
12,3,3,2025-12-07,WhatsApp
13,3,4,2025-12-18,WhatsApp
14,3,5,2026-01-02,In-Person
15,3,6,2026-01-14,Email
16,3,7,2026-01-23,Email
17,4,1,2025-08-23,Phone
18,4,2,2025-08-26,Phone
19,4,3,2025-09-02,Phone
20,5,1,2025-12-13,Phone
21,5,2,2025-12-16,Phone
22,5,3,2025-12-20,Video Call
23,5,4,2026-01-06,Email
24,5,5,2026-01-07,In-Person
25,6,1,2025-12-05,In-Person
26,6,2,2025-12-07,Phone
27,7,1,2025-12-05,WhatsApp
28,8,1,2026-01-24,WhatsApp
29,9,1,2025-12-07,In-Person
30,10,1,2026-02-13,Email
31,10,2,2026-02-17,Phone
32,10,3,2026-02-21,Video Call
33,10,4,2026-02-28,Phone
34,11,1,2025-11-22,WhatsApp
35,11,2,2025-11-28,Phone
36,11,3,2025-12-01,Video Call
37,11,4,2025-12-14,WhatsApp
38,11,5,2025-12-26,In-Person
39,11,6,2026-01-24,Video Call
40,11,7,2026-01-30,Video Call
41,12,1,2026-02-28,In-Person
42,12,2,2026-03-08,Phone
43,13,1,2026-03-04,In-Person
44,14,1,2025-10-10,In-Person
45,14,2,2025-10-16,Phone
46,14,3,2025-10-17,Video Call
47,15,1,2025-11-24,WhatsApp
48,15,2,2025-11-28,Phone
49,15,3,2025-12-10,In-Person
50,15,4,2025-12-13,WhatsApp
51,15,5,2025-12-14,WhatsApp
52,15,6,2026-01-01,WhatsApp
53,15,7,2026-01-16,In-Person
54,16,1,2025-10-30,WhatsApp
55,16,2,2025-10-31,Phone
56,17,1,2025-11-26,Phone
57,17,2,2025-11-30,Phone
58,17,3,2025-12-15,In-Person
