parking_id,dimension_code,subscore,weight_applied,weighted_contribution
1,DEMAND,87.6,0.3,26.28
1,REVENUE,100.0,0.25,25.0
1,COMPETITION,28.02,0.15,4.203
1,STRATEGIC_FIT,62.87,0.15,9.43
1,FEASIBILITY,71.14,0.15,10.671
2,DEMAND,62.23,0.3,18.669
2,REVENUE,82.44,0.25,20.61
2,COMPETITION,19.73,0.15,2.959
2,STRATEGIC_FIT,67.05,0.15,10.057
2,FEASIBILITY,63.33,0.15,9.499
3,DEMAND,78.02,0.3,23.406
3,REVENUE,83.38,0.25,20.845
3,COMPETITION,24.09,0.15,3.613
3,STRATEGIC_FIT,62.87,0.15,9.43
3,FEASIBILITY,84.4,0.15,12.66
4,DEMAND,72.22,0.3,21.666
4,REVENUE,84.91,0.25,21.227
4,COMPETITION,20.29,0.15,3.043
4,STRATEGIC_FIT,58.59,0.15,8.789
4,FEASIBILITY,45.08,0.15,6.762
5,DEMAND,80.17,0.3,24.051
5,REVENUE,54.58,0.25,13.645
5,COMPETITION,18.27,0.15,2.74
5,STRATEGIC_FIT,59.2,0.15,8.88
5,FEASIBILITY,54.5,0.15,8.175
6,DEMAND,83.67,0.3,25.101
6,REVENUE,100.0,0.25,25.0
6,COMPETITION,17.59,0.15,2.639
6,STRATEGIC_FIT,61.81,0.15,9.271
6,FEASIBILITY,77.89,0.15,11.684
7,DEMAND,74.62,0.3,22.386
7,REVENUE,81.78,0.25,20.445
7,COMPETITION,21.8,0.15,3.27
7,STRATEGIC_FIT,55.14,0.15,8.271
7,FEASIBILITY,61.3,0.15,9.195
8,DEMAND,74.99,0.3,22.497
8,REVENUE,91.64,0.25,22.91
8,COMPETITION,25.96,0.15,3.894
8,STRATEGIC_FIT,62.02,0.15,9.303
8,FEASIBILITY,64.52,0.15,9.678
9,DEMAND,75.13,0.3,22.539
9,REVENUE,61.0,0.25,15.25
9,COMPETITION,20.83,0.15,3.124
9,STRATEGIC_FIT,55.9,0.15,8.385
9,FEASIBILITY,58.66,0.15,8.799
10,DEMAND,62.57,0.3,18.771
10,REVENUE,37.23,0.25,9.307
10,COMPETITION,56.59,0.15,8.489
10,STRATEGIC_FIT,86.02,0.15,12.903
10,FEASIBILITY,41.88,0.15,6.282
11,DEMAND,38.16,0.3,11.448
11,REVENUE,47.26,0.25,11.815
11,COMPETITION,18.49,0.15,2.773
11,STRATEGIC_FIT,87.64,0.15,13.146
11,FEASIBILITY,82.55,0.15,12.382
12,DEMAND,77.92,0.3,23.376
12,REVENUE,61.61,0.25,15.402
12,COMPETITION,34.85,0.15,5.228
12,STRATEGIC_FIT,62.27,0.15,9.341
12,FEASIBILITY,59.32,0.15,8.898
13,DEMAND,68.8,0.3,20.64
13,REVENUE,91.49,0.25,22.872
13,COMPETITION,21.38,0.15,3.207
13,STRATEGIC_FIT,68.58,0.15,10.287
13,FEASIBILITY,70.23,0.15,10.534
14,DEMAND,63.8,0.3,19.14
14,REVENUE,69.99,0.25,17.497
14,COMPETITION,30.03,0.15,4.505
14,STRATEGIC_FIT,69.66,0.15,10.449
14,FEASIBILITY,62.07,0.15,9.31
15,DEMAND,70.83,0.3,21.249
15,REVENUE,85.81,0.25,21.453
15,COMPETITION,28.96,0.15,4.344
15,STRATEGIC_FIT,71.02,0.15,10.653
15,FEASIBILITY,59.72,0.15,8.958
16,DEMAND,73.36,0.3,22.008
16,REVENUE,80.57,0.25,20.142
16,COMPETITION,30.06,0.15,4.509
16,STRATEGIC_FIT,71.72,0.15,10.758
16,FEASIBILITY,63.66,0.15,9.549
17,DEMAND,76.45,0.3,22.935
17,REVENUE,87.58,0.25,21.895
17,COMPETITION,32.28,0.15,4.842
17,STRATEGIC_FIT,72.3,0.15,10.845
17,FEASIBILITY,88.02,0.15,13.203
18,DEMAND,83.91,0.3,25.173
18,REVENUE,100.0,0.25,25.0
18,COMPETITION,34.07,0.15,5.111
18,STRATEGIC_FIT,74.59,0.15,11.188
18,FEASIBILITY,66.18,0.15,9.927
19,DEMAND,71.58,0.3,21.474
19,REVENUE,83.84,0.25,20.96
19,COMPETITION,32.25,0.15,4.837
19,STRATEGIC_FIT,72.35,0.15,10.852
19,FEASIBILITY,54.17,0.15,8.126
20,DEMAND,61.6,0.3,18.48
20,REVENUE,44.22,0.25,11.055
20,COMPETITION,21.97,0.15,3.295
20,STRATEGIC_FIT,59.68,0.15,8.952
20,FEASIBILITY,51.58,0.15,7.737
21,DEMAND,67.34,0.3,20.202
21,REVENUE,90.5,0.25,22.625
21,COMPETITION,26.41,0.15,3.962
21,STRATEGIC_FIT,56.15,0.15,8.422
21,FEASIBILITY,78.12,0.15,11.718
22,DEMAND,61.86,0.3,18.558
22,REVENUE,89.45,0.25,22.363
22,COMPETITION,46.48,0.15,6.972
22,STRATEGIC_FIT,59.48,0.15,8.922
22,FEASIBILITY,57.81,0.15,8.671
23,DEMAND,21.41,0.3,6.423
23,REVENUE,44.25,0.25,11.062
23,COMPETITION,49.26,0.15,7.389
23,STRATEGIC_FIT,21.99,0.15,3.298
23,FEASIBILITY,95.53,0.15,14.329
24,DEMAND,17.05,0.3,5.115
24,REVENUE,26.5,0.25,6.625
24,COMPETITION,49.68,0.15,7.452
24,STRATEGIC_FIT,18.28,0.15,2.742
24,FEASIBILITY,65.71,0.15,9.856
25,DEMAND,21.59,0.3,6.477
25,REVENUE,32.75,0.25,8.188
25,COMPETITION,29.28,0.15,4.392
25,STRATEGIC_FIT,34.17,0.15,5.125
25,FEASIBILITY,54.97,0.15,8.245
26,DEMAND,24.42,0.3,7.326
26,REVENUE,52.69,0.25,13.172
26,COMPETITION,54.73,0.15,8.209
26,STRATEGIC_FIT,31.85,0.15,4.777
26,FEASIBILITY,79.72,0.15,11.958
27,DEMAND,21.89,0.3,6.567
27,REVENUE,34.2,0.25,8.55
27,COMPETITION,26.21,0.15,3.931
27,STRATEGIC_FIT,49.18,0.15,7.377
27,FEASIBILITY,69.69,0.15,10.454
28,DEMAND,21.84,0.3,6.552
28,REVENUE,44.2,0.25,11.05
28,COMPETITION,51.92,0.15,7.788
28,STRATEGIC_FIT,30.5,0.15,4.575
28,FEASIBILITY,59.52,0.15,8.928
29,DEMAND,35.41,0.3,10.623
29,REVENUE,44.38,0.25,11.095
29,COMPETITION,40.3,0.15,6.045
29,STRATEGIC_FIT,47.73,0.15,7.159
29,FEASIBILITY,50.2,0.15,7.53
30,DEMAND,23.68,0.3,7.104
30,REVENUE,40.68,0.25,10.17
30,COMPETITION,43.59,0.15,6.538
30,STRATEGIC_FIT,53.92,0.15,8.088
30,FEASIBILITY,62.92,0.15,9.438
31,DEMAND,28.15,0.3,8.445
31,REVENUE,43.36,0.25,10.84
31,COMPETITION,43.59,0.15,6.538
31,STRATEGIC_FIT,61.33,0.15,9.199
31,FEASIBILITY,73.12,0.15,10.968
32,DEMAND,42.35,0.3,12.705
32,REVENUE,33.8,0.25,8.45
32,COMPETITION,37.56,0.15,5.634
32,STRATEGIC_FIT,57.67,0.15,8.65
32,FEASIBILITY,37.1,0.15,5.565
33,DEMAND,21.34,0.3,6.402
33,REVENUE,33.81,0.25,8.453
33,COMPETITION,95.5,0.15,14.325
33,STRATEGIC_FIT,67.21,0.15,10.081
33,FEASIBILITY,40.69,0.15,6.103
34,DEMAND,34.57,0.3,10.371
34,REVENUE,37.47,0.25,9.367
34,COMPETITION,95.5,0.15,14.325
34,STRATEGIC_FIT,65.03,0.15,9.755
34,FEASIBILITY,46.42,0.15,6.963
35,DEMAND,22.01,0.3,6.603
35,REVENUE,14.82,0.25,3.705
35,COMPETITION,95.5,0.15,14.325
35,STRATEGIC_FIT,33.83,0.15,5.074
35,FEASIBILITY,39.08,0.15,5.862
36,DEMAND,35.37,0.3,10.611
36,REVENUE,35.46,0.25,8.865
36,COMPETITION,49.96,0.15,7.494
36,STRATEGIC_FIT,49.23,0.15,7.384
36,FEASIBILITY,62.31,0.15,9.347
37,DEMAND,30.17,0.3,9.051
37,REVENUE,27.63,0.25,6.907
37,COMPETITION,51.63,0.15,7.745
37,STRATEGIC_FIT,49.99,0.15,7.498
37,FEASIBILITY,50.82,0.15,7.623
38,DEMAND,27.63,0.3,8.289
38,REVENUE,27.38,0.25,6.845
38,COMPETITION,61.52,0.15,9.228
38,STRATEGIC_FIT,47.56,0.15,7.134
38,FEASIBILITY,62.91,0.15,9.436
39,DEMAND,25.48,0.3,7.644
39,REVENUE,18.63,0.25,4.657
39,COMPETITION,56.88,0.15,8.532
39,STRATEGIC_FIT,43.76,0.15,6.564
39,FEASIBILITY,47.96,0.15,7.194
40,DEMAND,38.85,0.3,11.655
40,REVENUE,51.67,0.25,12.918
40,COMPETITION,86.18,0.15,12.927
40,STRATEGIC_FIT,58.16,0.15,8.724
40,FEASIBILITY,48.8,0.15,7.32
